County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng,CountyName,State
"St. Louis city, MO",1791.995377,119,200,1778,3609,4995,13791,3543,464,318416,4.37,4.5,1.9777777777777776,50,38.62669009381907,-90.29331451089479,St. Louis city,MO
"Crittenden County, AR",1754.914968,8,38,165,662,1482,1753,189,28,49746,3.36,3.5,1.3571428571428572,50,35.16986503573323,-90.42485720950485,Crittenden County,AR
"Alexander County, IL",1664.700485,1,2,5,119,82,184,12,2,7629,4.16,4.0,1.72,50,37.25809047359649,-89.52092435455488,Alexander County,IL
"Kenedy County, TX",1456.31068,0,3,1,2,5,4,4,0,412,3.625,3.75,1.2,8,27.23255358656849,-97.7406083504528,Kenedy County,TX
"De Soto Parish, LA",1447.40243,3,4,17,368,149,494,60,0,27083,3.875,4.0,1.2857142857142858,16,32.06503659445174,-93.69933311557773,De Soto Parish,LA
"Baltimore city, MD",1419.5375689999994,216,317,3638,4660,7804,18055,4009,251,622104,4.29,4.5,2.042553191489361,50,39.293057591462905,-76.6044378014107,Baltimore city,MD
"Shelby County, TN",1315.0037519999996,135,483,3512,8224,14011,30620,3233,435,939465,4.31,4.5,1.7608695652173914,50,35.137195279425725,-89.99641625192818,Shelby County,TN
"Marlboro County, SC",1253.437132,3,20,32,296,408,1074,67,5,28003,3.24,3.5,1.1111111111111112,25,34.60873491720075,-79.6840260418615,Marlboro County,SC
"Storey County, NV",1217.656012,0,7,2,39,23,55,8,2,3942,4.42,4.5,1.9,50,39.506570496395,-119.79357374449795,Storey County,NV
"District of Columbia, DC",1216.801325,88,236,4037,3505,3519,23575,3663,51,646449,4.29,4.5,2.071428571428572,50,38.90357579966643,-77.02976576908245,District of Columbia,DC
"Dillon County, SC",1165.583272,8,17,48,291,595,1206,105,12,31229,3.3690476190476186,3.5,1.3125,42,34.435796446554214,-79.36059947951495,Dillon County,SC
"Scott County, MO",1163.145839,2,7,26,422,236,1002,39,8,39290,3.5,4.0,1.0,5,37.1123779310798,-89.54135196257586,Scott County,MO
"Philadelphia County, PA",1150.2963300000001,332,881,7984,8669,12004,38595,6401,0,1553165,4.23,4.0,2.1041666666666665,50,39.952756703666616,-75.16163102364206,Philadelphia County,PA
"Pershing County, NV",1148.756725,0,3,1,75,27,43,5,0,6877,3.9,4.0,1.5476190476190477,50,40.66833779022306,-117.85137548641623,Pershing County,NV
"Greenwood County, SC",1140.226324,7,39,73,676,965,2564,122,12,69723,3.9,4.0,1.5813953488372092,50,34.202376568620394,-82.15735883760588,Greenwood County,SC
"Madison County, TN",1138.4238300000004,13,33,196,882,1300,2604,180,27,98733,3.94,4.0,1.6444444444444444,50,35.64975296845292,-88.8358093430052,Madison County,TN
"Davidson County, TN",1129.513728,65,312,1753,5309,5875,20373,1418,100,658602,4.29,4.5,2.02,50,36.16586993159432,-86.77761110950105,Davidson County,TN
"Marion County, IN",1083.5081189999999,102,453,3486,6017,15125,29122,4757,414,928281,4.3,4.5,1.9166666666666667,50,39.77202612730839,-86.14995911881583,Marion County,IN
"Wayne County, MI",1065.188284,433,803,5879,11795,19882,34706,15251,766,1775273,4.29,4.5,1.5416666666666667,50,42.27363413007025,-83.2018397452594,Wayne County,MI
"Jackson County, MO",1026.623686,116,358,1913,4594,9695,25994,4953,318,679996,3.78,4.0,1.6875,50,39.03085822986701,-94.3630529483486,Jackson County,MO
"Pemiscot County, MO",998.7095326,0,6,21,151,192,463,23,2,17823,3.28125,3.5,1.1666666666666667,16,36.21722163667479,-89.7038424970503,Pemiscot County,MO
"Iberville Parish, LA",974.0162436,5,9,26,285,266,928,26,0,33367,4.05,4.0,1.9361702127659572,50,29.95625463516614,-90.06948126456983,Iberville Parish,LA
"Pulaski County, AR",959.9165822999997,61,179,1058,2458,7065,18011,1805,130,391284,4.28,4.5,1.7708333333333333,50,34.7567084357577,-92.37409942138152,Pulaski County,AR
"Jefferson County, AR",959.1343197999997,14,42,139,507,1400,2306,255,44,73191,3.94,4.0,1.3421052631578947,50,34.286565682184246,-91.98053250039287,Jefferson County,AR
"Muskogee County, OK",954.4400666000001,3,34,41,593,878,1324,142,23,70303,3.8333333333333335,4.0,1.25,15,35.47323443514793,-95.4663519198673,Muskogee County,OK
"Barnwell County, SC",953.9310095000001,5,4,33,169,349,691,74,10,22119,3.033333333333333,3.0,1.4,15,33.259648369884275,-81.41896187185442,Barnwell County,SC
"Tangipahoa Parish, LA",952.8593755,11,64,185,935,2683,4262,218,1,125412,3.2285714285714286,3.5,1.2,35,30.547359965031408,-90.47504324256464,Tangipahoa Parish,LA
"Marion County, SC",941.6313295,8,12,51,231,771,1060,92,12,32072,4.32,4.5,1.5319148936170213,50,33.8394766689718,-79.1108138960639,Marion County,SC
"Dougherty County, GA",930.4176661,4,32,240,589,1600,3844,266,13,92969,4.07,4.0,1.6,50,31.60231097570561,-84.19467656634893,Dougherty County,GA
"Carter County, OK",930.0694973999999,4,42,37,368,450,1327,109,23,48491,2.888888888888889,3.0,1.4444444444444444,27,34.196854259520265,-97.1536390067143,Carter County,OK
"Genesee County, MI",922.7783983999999,69,242,980,2542,6105,8311,936,313,415376,4.16,4.0,1.48,50,42.995353013915825,-83.69782878410517,Genesee County,MI
"Macon County, AL",919.3417310000001,6,10,25,140,516,640,110,3,19688,3.125,3.25,1.125,16,32.43054430507167,-85.6926405991345,Macon County,AL
